,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
0,HR1,,1.2912,45.2292,6.7,STAR A1V,0.07,,,,0.08,A
1,HR10,,1.8258,-17.3864,6.19,STAR A6V,0.14,,,,0.1,A
2,HR100,Kap Phe,6.5508,-43.68,3.94,STAR A7V,0.17,,0.08,,0.11,A
3,HR1000,60    Ari,50.1067,25.6628,6.12,STAR,1.24,,,,1.27,K
4,HR1001,,50.4692,49.0708,5.93,STAR F6V,0.43,,,,-0.02,F
5,HR1002,32    Per,50.3604,43.3294,4.95,STAR A3V,0.04,,0.0,,0.07,A
6,HR1003,16Tau4Eri,49.8792,-21.7578,3.69,STAR M3III,1.62,,1.46,e,1.81,M
7,HR1004,,49.895,-24.1231,5.61,STAR M2III,1.66,E,0.96,,2.0,M
8,HR1005,61Tau1Ari,50.3067,21.1469,5.28,STAR B5IV,-0.07,,,,-0.52,B
9,HR1006,Zet1Ret,49.4425,-62.5753,5.54,STAR G2V,0.64,,0.34,,0.06,G
10,HR1007,97Kap2Cet,50.2783,3.6756,5.69,STAR G8III,0.97,,,,0.76,G
11,HR1008,,49.9821,-43.0697,4.27,STAR G8V,0.71,,0.4,,0.22,G
12,HR1009,,51.1688,64.5861,5.23,STAR M0II,2.08,,1.23,,2.06,M
13,HR101,10    Cet,6.6558,-0.0497,6.19,STAR G8III,0.9,,,,0.55,G
14,HR1010,Zet2Ret,49.5537,-62.5064,5.24,STAR G1V,0.6,,0.34,,0.0,G
15,HR1011,,50.805,49.2133,5.29,STAR B5V,-0.07,,,,-0.54,B
16,HR1012,62    Ari,50.5496,27.6075,5.52,STAR G5III,1.1,,,,0.91,G
17,HR1013,,50.1883,-26.6064,6.39,STAR F7V,0.54,,,,,F
18,HR1014,,49.4958,-66.9269,6.05,STAR A3V,0.13,,,,0.1,A
19,HR1015,63Tau2Ari,50.6883,20.7419,5.09,STAR K3III,1.24,,,,1.27,K
20,HR1016,,50.35,-23.6353,5.52,STAR G6II,0.88,,0.47,,0.59,G
