name,spectral_type
HR  1852, O9.5IINwk"
HR  1853, A8Vn"
HR  1854, A3IV"
HR  1855, O9.7V"
HR  1856, F8/G2"
HR  1857, A0V"
HR  1858, B2IV-Ve"
HR  1859, F0IV/V"
HR   186, K3III"
HR  1860, B6V"
HR  1861, B1IV"
HR  1862, K1II/III"
HR  1863, B3V"
HR  1864, B3V"
HR  1865, F0Ib"
HR  1866, M0III"
HR  1867, K4/5III"
HR  1868, B1V+B4.5V"
HR  1869, F0V:"
HR   187, F6V"
HR  1870, K3III"
HR  1871, B2III/IV"
HR  1872, A1V"
HR  1873, B2/3IV/V"
HR  1874, K4III"
HR  1875, B2.5IV"
HR  1876, B0III"
HR  1877, K2/3III"
HR  1878, K0"
HR  1879, O8III((f))"
HR   188, G9.5IIICH-1"
HR  1880, B0.5V"
HR  1881, K0III"
HR  1882, F0IV"
HR  1883, B9IIIp"
HR  1884, G3Ib"
HR  1885, M0III"
HR  1886, B1V"
HR  1887, B0.5V"
HR  1888, A0IV"
HR  1889, F5III"
HR   189, B5V"
HR  1890, B2/3V"
HR  1891, B9III/IV"
HR  1892, B1V+?"
HR  1893, B0V"
HR  1894, B1V"
HR  1895, O7Vp"
HR  1896, B1.5Vp"
HR  1897, O9.5IVp"
HR  1898, B3V+B7V"
HR  1899, O9IIIvar"
HR    19, K0III"
HR   190, K1III"
HR  1900, B3III"
HR  1901, A9IV/V"
HR  1902, B9.5IV"
HR  1903, B0Ia"
HR  1904, K0"
HR  1905, F0V"
HR  1906, B3III/IV"
HR  1907, G9.5IIIbFe-2.5"
HR  1908, K5III"
HR  1909, K2III-IIIbCN0.5"
HR   191, A0IV"
HR  1910, B1IVe_shell"
HR  1911, B2IV"
HR  1912, F8V"
HR  1913, B2IV-V"
HR  1914, A2.5V+F6III"
HR  1915, A2III/IV"
HR  1916, K5III"
HR  1917, G8/K0III"
HR  1918, B2V(n)"
HR  1919, A1V"
HR   192, A2IV"
HR  1920, B8III"
HR  1921, G9III"
HR  1922, F8/G0Ib"
HR  1923, B3V"
HR  1924, B2IV-V"
HR  1925, K1"
HR  1926, F0IV"
HR  1927, K2III"
HR  1928, B3IV"
HR  1929, A1Vn"
HR   193, B5IIIe"
HR  1930, K4III"
HR  1931, O9.5V+B0.2V(n)"
HR  1932, B2IV-Vp_He"
HR  1933, B1.5IV"
HR  1934, B3Ve"
HR  1935, F5V"
HR  1936, G6III"
HR  1937, A4Vn"
HR  1938, B9.5III-IVp:(Hg?)"
HR  1939, M2Iab"
HR   194, K0III"
HR  1940, A9V"
HR  1941, K0III"
HR  1942, B8II"
HR  1943, G5III:"
HR  1944, B5III"
HR  1945, B8IV"
HR  1946, B3IV"
HR  1947, B8V"
HR  1948, O9.2IbvarNwk"
HR  1949, O9.5II-III(n)"
HR   195, K1III"
HR  1950, B2IV"
HR  1951, B8p"
HR  1952, B3V"
HR  1953, K2III"
HR  1954, K2"
HR  1955, F0V"
HR  1956, B9Ve"
HR  1957, B9III"
HR  1958, G6/8III"
HR  1959, F0V"
HR   196, A2Vs"
HR  1960, A1IIIe"
HR  1961, B4Ve"
HR  1962, B4/5III"
HR  1963, K1III"
HR  1964, M2/3III"
HR  1965, K3III"
HR  1966, B9.5V"
HR  1967, F5V"
HR  1968, A2/3V"
HR  1969, A4Vn"
HR   197, F3VFe-1"
HR  1970, K4+III"
HR  1971, A2VpCr"
HR  1972, A0V"
HR  1973, B9/9.5V"
HR  1974, A3V"
HR  1975, A0V"
HR  1976, A4V"
HR  1977, C-N5-"
HR  1978, F2V"
HR  1979, K0"
HR   198, F0V"
HR  1980, F8.5V"
HR  1981, F3V"
HR  1982, K3"
HR  1983, F6V"
HR  1984, A9V"
HR  1985, B8IIIpHg(Mn)"
HR  1986, K0III"
HR  1987, G8III"
HR  1988, G8III/IV"
HR  1989, A3Vn"
HR   199, F5III/IV"
HR  1990, F0III"
HR  1991, B8III"
HR  1992, A4IV-V"
HR  1993, B2IV-V"
HR  1994, G9III"
HR  1995, G8IIIbFe-1"
HR  1996, O9.5V"
HR  1997, B9Vn"
HR  1998, A2IV-V(n)"
HR  1999, A5V"
HR     2, K0III"
HR    20, A7IV"
HR   200, F3V"
HR  2000, G8III"
HR  2001, A2IV"
HR  2002, G9III"
HR  2003, K1III"
HR  2004, B0.5Ia"
HR  2005, B5II"
